suite,task,subset,model,metric,point,ci_low,ci_high,stderr,n,method
DMPO,gsm8k,overall,Base Model,pass@1,0.5193328278999242,0.4920394238059136,0.5458680818802123,0.013692868460880987,1319,bootstrap
DMPO,gsm8k,overall,Base Model,pass@2,0.6565579984836998,0.6307808946171342,0.6815769522365428,0.013026261543637282,1319,bootstrap
DMPO,gsm8k,overall,Base Model,pass@4,0.759666413949962,0.7361637604245641,0.7816527672479151,0.01174567880079573,1319,bootstrap
DMPO,gsm8k,overall,Base Model,pass@8,0.8339651250947687,0.8134950720242609,0.8529188779378317,0.010206650320262998,1319,bootstrap
DMPO,gsm8k,overall,Base Model,pass@16,0.8749052312357847,0.8567096285064443,0.8923426838514026,0.009075543641832566,1319,bootstrap
DMPO,gsm8k,overall,Base Model,pass@32,0.9014404852160728,0.8847611827141774,0.9173616376042456,0.008234718782997849,1319,bootstrap
DMPO,gsm8k,overall,Base Model,avg_pass@K,0.7576446803133687,0.7393227192317412,0.7744535001263584,0.009043501783268305,1319,bootstrap
DMPO,gsm8k,overall,DMPO,pass@1,0.7710386656557998,0.7482941622441244,0.7930439727065957,0.011648742886854368,1319,bootstrap
DMPO,gsm8k,overall,DMPO,pass@2,0.8423047763457164,0.8218347232752085,0.8612585291887794,0.0100956551338028,1319,bootstrap
DMPO,gsm8k,overall,DMPO,pass@4,0.8877937831690674,0.8703563305534496,0.9044730856709629,0.008672641031251215,1319,bootstrap
DMPO,gsm8k,overall,DMPO,pass@8,0.9112964366944655,0.8953752843062927,0.9257012888551933,0.007808408353424005,1319,bootstrap
DMPO,gsm8k,overall,DMPO,pass@16,0.9264594389689158,0.9120545868081881,0.9401250947687639,0.007197633017672577,1319,bootstrap
DMPO,gsm8k,overall,DMPO,pass@32,0.9438968915845337,0.9317664897649734,0.956027293404094,0.006344938439996056,1319,bootstrap
DMPO,gsm8k,overall,DMPO,avg_pass@K,0.8804649987364165,0.8654283548142533,0.8951225676017186,0.007471949604557555,1319,bootstrap
DMPO,gsm8k,overall,Progressive DMPO,pass@1,0.778620166793025,0.7558756633813495,0.800606520090978,0.011335394273674679,1319,bootstrap
DMPO,gsm8k,overall,Progressive DMPO,pass@2,0.8506444275966641,0.8309325246398787,0.869598180439727,0.009748970848275322,1319,bootstrap
DMPO,gsm8k,overall,Progressive DMPO,pass@4,0.8953752843062927,0.8786959818043972,0.9112964366944655,0.00830057042407406,1319,bootstrap
DMPO,gsm8k,overall,Progressive DMPO,pass@8,0.9166034874905231,0.9014404852160728,0.931008339651251,0.007536072888895817,1319,bootstrap
DMPO,gsm8k,overall,Progressive DMPO,pass@16,0.9347990902198635,0.9211523881728583,0.9476876421531463,0.00667359164821944,1319,bootstrap
DMPO,gsm8k,overall,Progressive DMPO,pass@32,0.9454131918119788,0.9332827899924185,0.9575435936315391,0.0061735201478776034,1319,bootstrap
DMPO,gsm8k,overall,Progressive DMPO,avg_pass@K,0.8869092747030579,0.8726244629770027,0.9006823351023504,0.007136380777138051,1319,bootstrap
DMPO,gsm8k,overall,DMPO-DPRM,pass@1,0.7498104624715694,0.7270659590598939,0.7733131159969674,0.01191490862050602,1319,bootstrap
DMPO,gsm8k,overall,DMPO-DPRM,pass@2,0.8423047763457164,0.8225928733889311,0.8612585291887794,0.009989981530699282,1319,bootstrap
DMPO,gsm8k,overall,DMPO-DPRM,pass@4,0.8991660348749052,0.8824867323730099,0.9150871872630781,0.00842222835430332,1319,bootstrap
DMPO,gsm8k,overall,DMPO-DPRM,pass@8,0.9272175890826384,0.913570887035633,0.9408642911296436,0.007186537988233079,1319,bootstrap
DMPO,gsm8k,overall,DMPO-DPRM,pass@16,0.9446550416982562,0.9317664897649734,0.9567854435178166,0.006308578763249659,1319,bootstrap
DMPO,gsm8k,overall,DMPO-DPRM,pass@32,0.9552691432903715,0.9438968915845337,0.9666413949962093,0.005670885785168572,1319,bootstrap
DMPO,gsm8k,overall,DMPO-DPRM,avg_pass@K,0.8864038412939094,0.8728834975991914,0.8999241849886278,0.0069021347851051604,1319,bootstrap
DMPO,math,overall,Base Model,pass@1,0.326,0.284,0.366,0.02081301728480759,500,bootstrap
DMPO,math,overall,Base Model,pass@2,0.38,0.338,0.422,0.02170109470746351,500,bootstrap
DMPO,math,overall,Base Model,pass@4,0.454,0.41,0.496,0.02209487626920482,500,bootstrap
DMPO,math,overall,Base Model,pass@8,0.54,0.494,0.582,0.022337712386879184,500,bootstrap
DMPO,math,overall,Base Model,pass@16,0.6,0.55595,0.64,0.0219501983189503,500,bootstrap
DMPO,math,overall,Base Model,pass@32,0.652,0.608,0.692,0.02157415056577031,500,bootstrap
DMPO,math,overall,Base Model,avg_pass@K,0.492,0.4526666666666666,0.5286666666666666,0.01914198570063495,500,bootstrap
DMPO,math,overall,DMPO,pass@1,0.33,0.29,0.37,0.021007487804798882,500,bootstrap
DMPO,math,overall,DMPO,pass@2,0.396,0.352,0.438,0.022064165500644883,500,bootstrap
DMPO,math,overall,DMPO,pass@4,0.444,0.4,0.486,0.022251662757175966,500,bootstrap
DMPO,math,overall,DMPO,pass@8,0.49,0.446,0.532,0.02241693040346387,500,bootstrap
DMPO,math,overall,DMPO,pass@16,0.558,0.514,0.6,0.02225559531768557,500,bootstrap
DMPO,math,overall,DMPO,pass@32,0.61,0.566,0.652,0.021752375183533998,500,bootstrap
DMPO,math,overall,DMPO,avg_pass@K,0.4713333333333333,0.432,0.5096666666666666,0.01985116831666861,500,bootstrap
DMPO,math,overall,Progressive DMPO,pass@1,0.348,0.306,0.39,0.021350460051925944,500,bootstrap
DMPO,math,overall,Progressive DMPO,pass@2,0.408,0.366,0.452,0.021871280530010223,500,bootstrap
DMPO,math,overall,Progressive DMPO,pass@4,0.48,0.436,0.524,0.02242097577249746,500,bootstrap
DMPO,math,overall,Progressive DMPO,pass@8,0.544,0.5,0.588,0.022218521820822824,500,bootstrap
DMPO,math,overall,Progressive DMPO,pass@16,0.594,0.55,0.636,0.021814382811793966,500,bootstrap
DMPO,math,overall,Progressive DMPO,pass@32,0.632,0.588,0.674,0.021475845031662093,500,bootstrap
DMPO,math,overall,Progressive DMPO,avg_pass@K,0.501,0.4616583333333333,0.5396666666666666,0.01960147280658364,500,bootstrap
DMPO,math,overall,DMPO-DPRM,pass@1,0.346,0.304,0.388,0.021336303583566713,500,bootstrap
DMPO,math,overall,DMPO-DPRM,pass@2,0.424,0.38,0.466,0.022018236348681094,500,bootstrap
DMPO,math,overall,DMPO-DPRM,pass@4,0.502,0.458,0.544,0.022314543758110473,500,bootstrap
DMPO,math,overall,DMPO-DPRM,pass@8,0.568,0.522,0.61,0.02224323951633024,500,bootstrap
DMPO,math,overall,DMPO-DPRM,pass@16,0.634,0.59,0.674,0.021633694060509905,500,bootstrap
DMPO,math,overall,DMPO-DPRM,pass@32,0.678,0.636,0.718,0.02097427106169158,500,bootstrap
DMPO,math,overall,DMPO-DPRM,avg_pass@K,0.5253333333333333,0.48666666666666664,0.5623416666666666,0.019174953940856002,500,bootstrap
DMPO,countdown,overall,Base Model,pass@1,0.1134765625,0.10487792968750001,0.12227050781249993,0.004442857265358902,5120,bootstrap
DMPO,countdown,overall,Base Model,pass@2,0.1865234375,0.1759765625,0.1974609375,0.0055394460876305035,5120,bootstrap
DMPO,countdown,overall,Base Model,pass@4,0.2763671875,0.2638671875,0.2890625,0.006417824766311326,5120,bootstrap
DMPO,countdown,overall,Base Model,pass@8,0.3673828125,0.3541015625,0.380859375,0.006851611234808849,5120,bootstrap
DMPO,countdown,overall,Base Model,pass@16,0.4478515625,0.433984375,0.46171875,0.007052649064166553,5120,bootstrap
DMPO,countdown,overall,Base Model,pass@32,0.52265625,0.5083984375,0.5361376953124999,0.007041208036514765,5120,bootstrap
DMPO,countdown,overall,Base Model,avg_pass@K,0.31904296875,0.30891845703125,0.32932942708333335,0.005247983083164073,5120,bootstrap
DMPO,countdown,overall,DMPO,pass@1,0.015625,0.0123046875,0.0189453125,0.0017131893191288208,5120,bootstrap
DMPO,countdown,overall,DMPO,pass@2,0.029296875,0.024609375,0.033984375,0.0023694097328356848,5120,bootstrap
DMPO,countdown,overall,DMPO,pass@4,0.05,0.044140625,0.05625,0.0030566172417644815,5120,bootstrap
DMPO,countdown,overall,DMPO,pass@8,0.0787109375,0.0716796875,0.086328125,0.0037522034645161247,5120,bootstrap
DMPO,countdown,overall,DMPO,pass@16,0.1228515625,0.113671875,0.1318359375,0.004647988756603758,5120,bootstrap
DMPO,countdown,overall,DMPO,pass@32,0.1705078125,0.1599609375,0.180859375,0.005310185142053642,5120,bootstrap
DMPO,countdown,overall,DMPO,avg_pass@K,0.07783203125,0.07223307291666665,0.08349609375,0.002875146783965528,5120,bootstrap
DMPO,countdown,overall,Progressive DMPO,pass@1,0.3703125,0.35703125,0.3830078125,0.0067205045731689094,5120,bootstrap
DMPO,countdown,overall,Progressive DMPO,pass@2,0.45078125,0.437109375,0.4642578125,0.0069292591482703406,5120,bootstrap
DMPO,countdown,overall,Progressive DMPO,pass@4,0.5134765625,0.4994140625,0.5267578125,0.006956922225309975,5120,bootstrap
DMPO,countdown,overall,Progressive DMPO,pass@8,0.5724609375,0.55859375,0.585546875,0.00689510820485731,5120,bootstrap
DMPO,countdown,overall,Progressive DMPO,pass@16,0.625,0.611328125,0.6380859375,0.006780703752390087,5120,bootstrap
DMPO,countdown,overall,Progressive DMPO,pass@32,0.6705078125,0.65703125,0.68359375,0.00663171700574457,5120,bootstrap
DMPO,countdown,overall,Progressive DMPO,avg_pass@K,0.5337565104166667,0.5213850911458333,0.54567138671875,0.006088522238731915,5120,bootstrap
DMPO,countdown,overall,DMPO-DPRM,pass@1,0.3328125,0.31953125,0.34570800781249994,0.006677571829487754,5120,bootstrap
DMPO,countdown,overall,DMPO-DPRM,pass@2,0.4392578125,0.4251953125,0.45234375,0.006962890188431695,5120,bootstrap
DMPO,countdown,overall,DMPO-DPRM,pass@4,0.5265625,0.5122998046875,0.5404296875,0.007148485110008125,5120,bootstrap
DMPO,countdown,overall,DMPO-DPRM,pass@8,0.6025390625,0.5888671875,0.61640625,0.006985992097308532,5120,bootstrap
DMPO,countdown,overall,DMPO-DPRM,pass@16,0.6744140625,0.6615234375,0.6873046875,0.006574601868534731,5120,bootstrap
DMPO,countdown,overall,DMPO-DPRM,pass@32,0.7271484375,0.7152294921875,0.7390673828124998,0.006211503052185897,5120,bootstrap
DMPO,countdown,overall,DMPO-DPRM,avg_pass@K,0.5504557291666666,0.5388346354166668,0.5618497721354166,0.005854312466179198,5120,bootstrap
DMPO,gsm8k,overall,Progressive DMPO - DMPO,avg_pass@K_delta,0.006444275966641395,-0.003917108920899671,0.017058377558756634,0.005364126151416274,1319,paired_bootstrap
DMPO,gsm8k,overall,DMPO-DPRM - Progressive DMPO,avg_pass@K_delta,-0.0005054334091483446,-0.010866818296689411,0.009732752084912769,0.005318276987509752,1319,paired_bootstrap
DMPO,math,overall,Progressive DMPO - DMPO,avg_pass@K_delta,0.029666666666666664,0.0020000000000000026,0.05966666666666667,0.014678396334651983,500,paired_bootstrap
DMPO,math,overall,DMPO-DPRM - Progressive DMPO,avg_pass@K_delta,0.02433333333333333,-0.0003333333333333304,0.049,0.012438897709993936,500,paired_bootstrap
DMPO,countdown,overall,Progressive DMPO - DMPO,avg_pass@K_delta,0.4559244791666667,0.4444327799479167,0.46689534505208335,0.005710545442186006,5120,paired_bootstrap
DMPO,countdown,overall,DMPO-DPRM - Progressive DMPO,avg_pass@K_delta,0.016699218749999998,0.008430989583333331,0.025228678385416654,0.004317063858731767,5120,paired_bootstrap
